host_id,property_count,property_ids,is_superhost,host_rating,host_response_rate,hosts_year,host_number_of_reviews,total_reviews,positive_reviews,negative_reviews,avg_sentiment,avg_rating_cleanliness,avg_rating_communication,avg_rating_checkin,avg_rating_location,avg_rating_value,avg_price,avg_prediction,avg_price_delta,avg_lat,avg_long,avg_walk_score,avg_amenities_count,main_property_type,combined_advantages,combined_disadvantages,combined_suggestions,quality_score
4118149,1,1099627388719946589,0,5.0,70,6,21,20,20,0,0.998,4.7,5.0,5.0,5.0,5.0,177.68,255.600122346426,77.92012234642598,48.8776,2.3477,75.2,21.0,entire_place,Quiet Area (4x); Very Comfortable (4x); Responsive Host (2x); Highly Recommend (2x); Very Clean (2x),No issues identified,No issues identified - keep up the great work!,0.998
4424807,1,988997751082860469,0,4.78,100,13,9,23,21,2,0.827,5.0,4.8,4.9,5.0,4.7,287.06,508.5195261263922,221.45952612639218,48.8584,2.3275,75.7,29.0,entire_place,Walkable (7x); Great Location (6x); Very Clean (4x); Highly Recommend (3x); Well Equipped (3x),No issues identified,Note: 2 negative review(s) detected but no specific issues were identified by our analysis. We recommend manually reviewing the feedback for insights.,0.827
4512059,1,1098436226538951200,0,0.0,100,5,0,1,1,0,1.0,,,,,,466.04,698.3703500781689,232.33035007816892,48.8609,2.3669,73.8,40.0,entire_place,Walkable (1x); Quiet Area (1x); Well Equipped (1x); Very Comfortable (1x),No issues identified,No issues identified - keep up the great work!,1.0
4593397,1,1303556952864154162,1,4.76,100,12,409,1,1,0,1.0,,,,,,229.0,854.8528181278459,625.8528181278459,48.85993,2.31816,1.4,41.0,entire_place,Walkable (1x); Highly Recommend (1x),No issues identified,No issues identified - keep up the great work!,1.0
4728102,1,1147612251232027109,0,4.81,100,12,88,2,2,0,1.0,,,,,,146.52,424.3512033594711,277.83120335947115,48.851,2.3822,74.3,6.0,entire_place,Great Location (1x); Walkable (1x); Very Clean (1x); Responsive Host (1x); Will Return (1x),No issues identified,No issues identified - keep up the great work!,1.0
4771838,1,895521,1,4.94,100,12,176,48,48,0,1.0,4.9,4.9,4.9,5.0,4.8,243.0,604.5437053757091,361.5437053757091,48.85831,2.35708,78.5,50.0,entire_place,Great Host (10x); Responsive Host (9x); Will Return (9x); Highly Recommend (8x); Great Location (6x),No issues identified,No issues identified - keep up the great work!,1.0
4978371,1,577361166440708789,0,4.93,100,3,15,30,28,2,0.87,4.9,5.0,4.9,4.9,4.8,404.0,520.8982847907171,116.89828479071707,48.8652,2.3503,96.9,52.0,entire_place,Responsive Host (8x); Great Location (8x); Beautiful Place (6x); Highly Recommend (6x); Great Host (4x),No issues identified,Note: 2 negative review(s) detected but no specific issues were identified by our analysis. We recommend manually reviewing the feedback for insights.,0.87
5027164,1,20798079,0,4.24,62,12,1579,5,4,1,0.599,3.6,4.8,4.2,5.0,4.2,149.54,565.5331054489583,415.9931054489583,48.84747,2.32196,68.0,29.0,entire_place,Will Return (2x); Friendly Host (1x); Well Equipped (1x),Noise General (1x),"[Noise General]: Include a short, descriptive listing title. Check that your title offers a unique, accurate perspective of your home and surroundings. For example, “Quiet studio near Uffizi” conveys in a few words that the place is a peaceful, centrally located apartment in Florence, Italy.",0.599
5458450,1,813105218495279020,1,4.94,100,2,32,23,22,1,0.914,4.9,4.9,4.8,4.9,4.9,163.0,216.41202508166057,53.41202508166057,48.85584081185662,2.379070854061957,74.1,36.0,entire_place,Will Return (6x); Beautiful Place (4x); Responsive Host (4x); Great Location (3x); Very Comfortable (3x),No issues identified,Note: 1 negative review(s) detected but no specific issues were identified by our analysis. We recommend manually reviewing the feedback for insights.,0.914
5770486,1,770316567391783982,1,5.0,100,2,30,48,46,2,0.917,5.0,5.0,5.0,5.0,5.0,222.18,117.57726850634408,-104.60273149365592,48.86598737691619,2.378020783284543,74.6,55.0,entire_place,Very Clean (18x); Responsive Host (10x); Very Comfortable (8x); Spacious (8x); Well Equipped (8x),Noise Street (2x),[Noise Street]: Location. How did the guest feel about the area and neighborhood?,0.917
5878846,1,15111537,0,4.63,100,9,368,24,21,3,0.75,4.7,4.8,4.8,5.0,4.8,103.34,465.1784235298629,361.8384235298629,48.876,2.3478,84.1,20.0,entire_place,Walkable (6x); Great Location (6x); Very Comfortable (5x); Responsive Host (4x); Well Equipped (4x),Noise General (1x); Uncomfortable Bed (1x),"[Noise General]: Include a short, descriptive listing title. Check that your title offers a unique, accurate perspective of your home and surroundings. For example, “Quiet studio near Uffizi” conveys in a few words that the place is a peaceful, centrally located apartment in Florence, Italy. || [Uncomfortable Bed]: Bedding. This includes a bed sheet; a blanket, comforter, or top-sheet; and one sleeping pillow per person with a pillowcase.",0.75
6766653,1,988408450813290217,0,5.0,100,2,3,3,3,0,1.0,5.0,5.0,5.0,5.0,4.7,489.05,717.4122448523253,228.36224485232532,48.874213188185,2.361881161966065,74.3,51.0,entire_place,Beautiful Place (1x); Perfect Stay (1x); Responsive Host (1x); Very Comfortable (1x); Spacious (1x),No issues identified,No issues identified - keep up the great work!,1.0
6774720,1,7851807,1,4.79,100,12,137,48,48,0,0.999,5.0,5.0,5.0,4.9,4.8,139.0,125.83260617520494,-13.167393824795056,48.83822,2.34811,74.6,35.0,entire_place,Highly Recommend (13x); Very Comfortable (9x); Great Location (9x); Responsive Host (8x); Walkable (7x),Overpriced (1x),"[Overpriced]: You can develop and evolve your Smart Pricing strategy over time. This includes adjusting minimum and maximum prices, as well as setting custom prices, promotions, and discounts for the dates you’ve chosen to override Smart Pricing.",0.999
7642792,3,"1131686367424702684,32032724,1596929",1,4.62,95,12,5949,98,80,18,0.785,4.6,4.65,4.7,4.85,4.300000000000001,357.28666666666663,411.9571633588884,54.670496692221754,48.8604328363704,2.3610862921436113,77.13333333333334,21.333333333333332,entire_place,Very Comfortable (2x); Responsive Host (1x); Very Clean (1x); Great Location (5x); Spacious (5x); Will Return (3x); Very Clean (3x); Very Comfortable (3x); Great Location (22x); Walkable (9x); Quiet Area (9x); Responsive Host (9x); Very Comfortable (8x),Too Small (1x); No issues identified,"[Too Small]: Be sure to showcase the changes you’ve made by updating your amenities, listing description, and photos. Adding just a few sought-after items can go a long way toward making guests feel more comfortable in your space—and could lead to great reviews.; Note: 3 negative review(s) detected but no specific issues were identified by our analysis. We recommend manually reviewing the feedback for insights.; Note: 15 negative review(s) detected but no specific issues were identified by our analysis. We recommend manually reviewing the feedback for insights.",0.785
8462149,1,3689022,1,4.35,100,11,57,24,23,1,0.922,4.2,4.8,4.7,4.9,4.4,145.58,212.06903152374272,66.48903152374271,48.86883,2.34436,87.7,30.0,entire_place,Great Location (5x); Highly Recommend (4x); Very Comfortable (4x); Will Return (3x); Beautiful Place (2x),No issues identified,Note: 1 negative review(s) detected but no specific issues were identified by our analysis. We recommend manually reviewing the feedback for insights.,0.922
8865586,1,6008098,0,4.9,100,10,31,24,24,0,0.999,4.9,5.0,4.9,5.0,4.8,636.0,196.415142174728,-439.584857825272,48.86081,2.36167,81.7,47.0,entire_place,Quiet Area (8x); Very Comfortable (7x); Great Location (4x); Responsive Host (4x); Great Host (3x),Too Hot (1x),"[Too Hot]: Opening doors and windows or using fans doesn’t stop carbon monoxide building up indoors. Although carbon monoxide can't be seen or smelled, it can rapidly lead to full incapacitation and death. If you start to feel sick, dizzy, or weak, get to fresh air right away—don’t delay.",0.999
8888152,1,44567494,0,4.74,100,6,27,19,18,1,0.885,4.8,5.0,5.0,4.8,4.7,266.0,411.5284451798088,145.52844517980878,48.87179,2.35591,90.3,37.0,entire_place,Very Comfortable (7x); Walkable (4x); Will Return (4x); Spacious (2x); Perfect Stay (1x),Dirty General (1x),"[Dirty General]: Clean and declutter. Show guests exactly what they can expect. “It’s surprising how many people forget to clear their spaces of random objects before taking photos,” says Jeff, a photographer and Superhost in Joshua Tree, California.",0.885
9044891,1,21134736,1,4.81,100,12,823,16,14,2,0.778,5.0,4.9,5.0,5.0,4.6,701.57,567.1179175850295,-134.4520824149705,48.85225,2.34258,88.1,47.0,entire_place,Well Equipped (4x); Spacious (4x); Very Comfortable (4x); Will Return (2x); Very Clean (2x),Noise General (2x),"[Noise General]: Include a short, descriptive listing title. Check that your title offers a unique, accurate perspective of your home and surroundings. For example, “Quiet studio near Uffizi” conveys in a few words that the place is a peaceful, centrally located apartment in Florence, Italy.",0.778
10013930,1,1116533552903561662,1,4.88,100,1,16,16,16,0,0.998,4.8,4.7,4.9,5.0,4.8,218.16,560.2812144929072,342.12121449290726,48.86184372776604,2.35977160593048,76.5,22.0,entire_place,Beautiful Place (4x); Great Location (2x); Central (2x); Very Comfortable (2x); Highly Recommend (1x),Too Small (1x),"[Too Small]: Be sure to showcase the changes you’ve made by updating your amenities, listing description, and photos. Adding just a few sought-after items can go a long way toward making guests feel more comfortable in your space—and could lead to great reviews.",0.998
10310158,1,41849300,0,4.82,100,7,22,20,20,0,1.0,4.4,5.0,5.0,5.0,4.8,199.74,414.9558042531555,215.2158042531555,48.87438,2.34976,82.6,18.0,entire_place,Great Location (4x); Responsive Host (3x); Will Return (3x); Highly Recommend (2x); Great Host (2x),No issues identified,No issues identified - keep up the great work!,1.0
10438434,1,863543654332792232,1,5.0,100,2,16,16,16,0,1.0,5.0,5.0,5.0,5.0,5.0,315.76,377.9414960217893,62.181496021789314,48.87184030021491,2.358398205937559,89.6,42.0,entire_place,Responsive Host (4x); Highly Recommend (4x); Quiet Area (3x); Walkable (3x); Well Equipped (3x),Noise Street (2x),[Noise Street]: Location. How did the guest feel about the area and neighborhood?,1.0
10829553,1,1175988909648219257,1,4.83,98,7,390,12,12,0,1.0,4.8,5.0,5.0,5.0,4.8,344.47,351.78166844966574,7.311668449665717,48.85602524466596,2.357691294493003,78.5,25.0,entire_place,Beautiful Place (3x); Responsive Host (2x); Quiet Area (1x); Great Host (1x); Highly Recommend (1x),No issues identified,No issues identified - keep up the great work!,1.0
10970918,1,27798340,0,5.0,100,7,23,23,22,1,0.92,5.0,5.0,5.0,5.0,4.9,318.0,175.64900511898122,-142.35099488101878,48.86775,2.34495,86.5,24.0,entire_place,Spacious (5x); Walkable (3x); Well Equipped (3x); Perfect Stay (3x); Very Comfortable (3x),No issues identified,Note: 1 negative review(s) detected but no specific issues were identified by our analysis. We recommend manually reviewing the feedback for insights.,0.92
11545087,1,855571632780578214,0,4.94,100,2,16,16,16,0,1.0,4.9,5.0,5.0,4.6,4.7,157.36,382.882880989776,225.522880989776,48.8838,2.36673,75.2,20.0,entire_place,Very Comfortable (7x); Highly Recommend (4x); Well Equipped (3x); Friendly Host (2x); Responsive Host (2x),No issues identified,No issues identified - keep up the great work!,1.0
11658690,1,1083095368687612865,0,4.82,100,9,125,11,11,0,1.0,5.0,5.0,5.0,5.0,5.0,403.77,502.0059444559029,98.23594445590294,48.8731,2.3547,74.4,53.0,entire_place,Walkable (2x); Perfect Stay (1x); Responsive Host (1x); Beautiful Place (1x); Will Return (1x),No issues identified,No issues identified - keep up the great work!,1.0
11961861,1,20313940,1,4.93,100,9,95,48,43,5,0.794,4.9,5.0,5.0,5.0,4.8,290.0,545.5523833338987,255.55238333389866,48.86423,2.36099,70.3,25.0,entire_place,Great Location (12x); Will Return (12x); Very Comfortable (6x); Quiet Area (5x); Great Host (5x),No issues identified,Note: 5 negative review(s) detected but no specific issues were identified by our analysis. We recommend manually reviewing the feedback for insights.,0.794
12004186,1,16349315,1,4.88,100,10,82,24,24,0,0.999,4.7,5.0,4.9,4.9,4.8,189.46,415.03864732252976,225.57864732252975,48.87112901051115,2.351395562977885,74.1,31.0,entire_place,Very Comfortable (5x); Responsive Host (5x); Walkable (4x); Quiet Area (3x); Spacious (2x),Overpriced (1x); Too Small (1x),"[Overpriced]: You can develop and evolve your Smart Pricing strategy over time. This includes adjusting minimum and maximum prices, as well as setting custom prices, promotions, and discounts for the dates you’ve chosen to override Smart Pricing. || [Too Small]: Be sure to showcase the changes you’ve made by updating your amenities, listing description, and photos. Adding just a few sought-after items can go a long way toward making guests feel more comfortable in your space—and could lead to great reviews.",0.999
13731705,1,17874457,1,4.92,100,8,93,24,24,0,0.999,5.0,5.0,4.9,5.0,4.9,231.0,436.4849091763134,205.4849091763134,48.85526,2.32694,75.2,17.0,entire_place,Great View (6x); Responsive Host (5x); Great Location (4x); Highly Recommend (3x); Very Clean (3x),No issues identified,No issues identified - keep up the great work!,0.999
13965074,1,50320846,0,4.76,100,3,66,24,21,3,0.767,4.6,4.9,4.6,4.8,4.6,103.34,358.7961074112776,255.4561074112776,48.84383,2.32239,63.6,43.0,entire_place,Responsive Host (5x); Well Equipped (5x); Will Return (3x); Great Location (3x); Walkable (2x),Safety Concerns (1x); Noise Street (1x),"[Safety Concerns]: Location: Was the guest made aware of safety, transportation, points of interest, and special considerations like noise or other situations that might affect them? || [Noise Street]: Location. How did the guest feel about the area and neighborhood?",0.767
14015494,1,8631590,1,4.58,100,10,171,24,21,3,0.75,4.7,4.9,4.8,4.8,4.5,114.37,602.7352466908153,488.3652466908153,48.85823,2.37424,75.6,31.0,unique_stay,Responsive Host (6x); Highly Recommend (4x); Will Return (4x); Great Location (3x); Good Bed (2x),Too Small (3x); Hard To Find (2x); Too Hot (1x),"[Too Small]: Be sure to showcase the changes you’ve made by updating your amenities, listing description, and photos. Adding just a few sought-after items can go a long way toward making guests feel more comfortable in your space—and could lead to great reviews. || [Hard To Find]: Directions and transportation: Confirm the address of a home, with instructions for getting there. || [Too Hot]: Opening doors and windows or using fans doesn’t stop carbon monoxide building up indoors. Although carbon monoxide can't be seen or smelled, it can rapidly lead to full incapacitation and death. If you start to feel sick, dizzy, or weak, get to fresh air right away—don’t delay.",0.75
14114357,1,25256444,1,4.92,100,7,102,24,24,0,0.996,4.9,5.0,5.0,5.0,4.8,125.0,244.68971381490033,119.68971381490033,48.86442,2.36856,74.4,30.0,entire_place,Walkable (7x); Great Location (5x); Very Comfortable (3x); Highly Recommend (3x); Great Communication (2x),No issues identified,No issues identified - keep up the great work!,0.996
15038055,1,971596620411993159,0,4.4,100,6,5,2,2,0,1.0,,,,,,168.52,539.6796321043562,371.1596321043562,48.86329,2.37266,74.8,17.0,entire_place,Great Location (1x); Well Equipped (1x); Great Kitchen (1x),No issues identified,No issues identified - keep up the great work!,1.0
15340463,1,1047096309299360962,1,4.97,100,2,86,24,24,0,1.0,4.9,5.0,5.0,4.9,4.8,374.71,598.816629836006,224.106629836006,48.8433,2.3385,74.0,48.0,entire_place,Responsive Host (7x); Very Comfortable (6x); Great Location (5x); Exceeded Expectations (4x); Highly Recommend (4x),No issues identified,No issues identified - keep up the great work!,1.0
15809233,1,50952771,0,4.52,100,11,83,11,10,1,0.816,3.2,4.6,4.8,4.8,4.3,97.6,280.018004383174,182.418004383174,48.85216,2.37818,75.0,39.0,entire_place,Great Location (5x); Very Clean (1x); Good Value (1x),Dirty General (2x); Noise General (1x),"[Dirty General]: Clean and declutter. Show guests exactly what they can expect. “It’s surprising how many people forget to clear their spaces of random objects before taking photos,” says Jeff, a photographer and Superhost in Joshua Tree, California. || [Noise General]: Include a short, descriptive listing title. Check that your title offers a unique, accurate perspective of your home and surroundings. For example, “Quiet studio near Uffizi” conveys in a few words that the place is a peaceful, centrally located apartment in Florence, Italy.",0.816
16178295,1,24463776,0,4.55,100,11,502,24,20,4,0.665,4.5,4.7,4.9,4.9,4.5,142.0,530.0670562820324,388.06705628203235,48.8389,2.33752,68.8,34.0,entire_place,Great Location (6x); Responsive Host (4x); Very Comfortable (4x); Central (2x); Spacious (1x),Wifi Issues (1x); Too Small (1x),"[Wifi Issues]: Wifi: Provide the wifi network and password at your home or location. || [Too Small]: Be sure to showcase the changes you’ve made by updating your amenities, listing description, and photos. Adding just a few sought-after items can go a long way toward making guests feel more comfortable in your space—and could lead to great reviews.",0.665
16207679,1,1030343727622587887,1,4.98,100,4,85,22,22,0,0.999,5.0,5.0,5.0,5.0,4.9,229.64,243.56973090019625,13.929730900196262,48.86586264403496,2.346663862671249,86.4,39.0,entire_place,Very Comfortable (8x); Great Location (6x); Highly Recommend (5x); Good Bed (4x); Quiet Area (4x),Too Hot (1x); Noise General (1x); Noise Street (1x),"[Too Hot]: Opening doors and windows or using fans doesn’t stop carbon monoxide building up indoors. Although carbon monoxide can't be seen or smelled, it can rapidly lead to full incapacitation and death. If you start to feel sick, dizzy, or weak, get to fresh air right away—don’t delay. || [Noise General]: Include a short, descriptive listing title. Check that your title offers a unique, accurate perspective of your home and surroundings. For example, “Quiet studio near Uffizi” conveys in a few words that the place is a peaceful, centrally located apartment in Florence, Italy. || [Noise Street]: Location. How did the guest feel about the area and neighborhood?",0.999
16405217,1,52099881,0,4.8,91,11,45,24,23,1,0.909,4.9,5.0,5.0,4.7,4.6,172.0,417.6536945202653,245.65369452026528,48.87817,2.35564,74.3,25.0,entire_place,Great Location (6x); Quiet Area (5x); Highly Recommend (4x); Very Clean (4x); Spacious (3x),No issues identified,Note: 1 negative review(s) detected but no specific issues were identified by our analysis. We recommend manually reviewing the feedback for insights.,0.909
16542312,1,716061479538587256,1,4.68,100,11,34,19,19,0,0.999,5.0,5.0,4.5,5.0,4.8,459.29,621.4797248352563,162.1897248352563,48.85942,2.37505,74.3,54.0,entire_place,Responsive Host (9x); Highly Recommend (5x); Central (3x); Very Comfortable (3x); Spacious (3x),Too Small (1x),"[Too Small]: Be sure to showcase the changes you’ve made by updating your amenities, listing description, and photos. Adding just a few sought-after items can go a long way toward making guests feel more comfortable in your space—and could lead to great reviews.",0.999
16675285,1,787028365819778757,1,4.94,90,2,31,51,51,0,0.997,5.0,5.0,4.9,4.8,4.9,183.72,311.44249286180786,127.72249286180786,48.84173227207379,2.324542962058586,75.7,42.0,entire_place,Quiet Area (12x); Well Equipped (12x); Great Location (9x); Central (3x); Highly Recommend (3x),Noise General (9x),"[Noise General]: Include a short, descriptive listing title. Check that your title offers a unique, accurate perspective of your home and surroundings. For example, “Quiet studio near Uffizi” conveys in a few words that the place is a peaceful, centrally located apartment in Florence, Italy.",0.997
17768562,1,50745918,0,5.0,100,2,12,12,12,0,1.0,4.9,5.0,5.0,5.0,4.9,150.0,371.6352502289275,221.63525022892748,48.87654445035295,2.341890004418879,75.5,34.0,entire_place,Very Comfortable (3x); Responsive Host (2x); Walkable (1x); Great Host (1x); Highly Recommend (1x),No issues identified,No issues identified - keep up the great work!,1.0
18381934,1,844902266320666166,0,4.92,100,2,13,13,12,1,0.855,4.9,5.0,5.0,4.9,4.8,137.79,474.0328372678018,336.24283726780186,48.8775,2.3534,75.1,40.0,entire_place,Highly Recommend (4x); Responsive Host (3x); Will Return (2x); Walkable (2x); Great Host (1x),No issues identified,Note: 1 negative review(s) detected but no specific issues were identified by our analysis. We recommend manually reviewing the feedback for insights.,0.855
18734978,1,27387680,0,4.36,100,9,50,24,21,3,0.755,4.0,4.7,4.7,4.8,4.4,130.14,390.4845341704936,260.3445341704936,48.87192,2.36701,75.8,46.0,entire_place,Great Location (7x); Responsive Host (3x); Highly Recommend (3x); Great Host (3x); Walkable (2x),Dirty Bathroom (1x),"[Dirty Bathroom]: Bathroom basics. This means providing: Shampoo and/or 2-in-1 shampoo and conditioner Body soap Hand soap Access to full bathroom facilities, including a seated, flushable toilet, a bathtub or shower, a sink, and hot and cold running water",0.755
19502321,1,677480542246461048,0,4.33,70,3,12,3,2,1,0.346,4.3,4.7,4.3,4.7,4.0,765.0,659.3372461899207,-105.66275381007927,48.83668,2.34601,56.3,43.0,entire_place,Great Location (2x); Spacious (1x),No issues identified,Note: 1 negative review(s) detected but no specific issues were identified by our analysis. We recommend manually reviewing the feedback for insights.,0.346
19850326,1,4698776,0,4.51,100,11,135,24,21,3,0.746,4.6,4.9,4.9,4.7,4.6,188.59,477.0105582154356,288.42055821543556,48.84706,2.37772,75.3,22.0,entire_place,Highly Recommend (3x); Will Return (3x); Quiet Area (2x); Great Location (2x); Very Comfortable (2x),Dirty General (1x); Noise General (1x),"[Dirty General]: Clean and declutter. Show guests exactly what they can expect. “It’s surprising how many people forget to clear their spaces of random objects before taking photos,” says Jeff, a photographer and Superhost in Joshua Tree, California. || [Noise General]: Include a short, descriptive listing title. Check that your title offers a unique, accurate perspective of your home and surroundings. For example, “Quiet studio near Uffizi” conveys in a few words that the place is a peaceful, centrally located apartment in Florence, Italy.",0.746
20073379,1,1095839091884665133,1,4.72,100,11,443,6,6,0,1.0,5.0,5.0,5.0,5.0,5.0,436.0,547.9190826595911,111.91908265959114,48.856,2.3665,74.5,36.0,entire_place,Very Clean (4x); Great Host (2x); Will Return (2x); Responsive Host (2x); Well Equipped (2x),No issues identified,No issues identified - keep up the great work!,1.0
20858683,1,17316722,0,4.0,100,2,2,2,1,1,0.001,,,,,,116.0,547.1019488164777,431.1019488164777,48.85871,2.37541,74.1,9.0,entire_place,Responsive Host (1x); Highly Recommend (1x),No issues identified,Note: 1 negative review(s) detected but no specific issues were identified by our analysis. We recommend manually reviewing the feedback for insights.,0.001
21032667,1,744943509733187628,0,4.91,100,2,11,11,10,1,0.818,4.7,5.0,4.7,5.0,4.4,270.51,322.2602772689396,51.75027726893961,48.87218412464673,2.368280497582975,75.6,48.0,entire_place,Great Location (3x); Responsive Host (2x); Highly Recommend (2x); Good Bed (1x); Very Comfortable (1x),Noise General (1x),"[Noise General]: Include a short, descriptive listing title. Check that your title offers a unique, accurate perspective of your home and surroundings. For example, “Quiet studio near Uffizi” conveys in a few words that the place is a peaceful, centrally located apartment in Florence, Italy.",0.818
21141198,1,12757763,1,4.97,100,9,188,24,24,0,1.0,5.0,5.0,5.0,4.9,4.9,184.14,276.49377893602104,92.35377893602106,48.86668,2.35398,73.9,18.0,entire_place,Great Location (7x); Very Comfortable (4x); Will Return (4x); Highly Recommend (4x); Walkable (3x),Smell Issues (1x); Noise Street (1x),"[Smell Issues]: Everyone has a different sense of smell. Strong scents of any kind can be off-putting to guests. Trying to mask odors with bleach, air fresheners, or other solutions usually doesn’t work, Diana says. || [Noise Street]: Location. How did the guest feel about the area and neighborhood?",1.0
21630783,1,21692517,0,4.54,78,11,2208,38,18,20,0.4805,,,,,,439.0,784.8985990035253,345.8985990035253,48.84637,2.32828,75.0,32.0,entire_place,Great Location (7x); Spacious (4x); Walkable (3x); Very Comfortable (2x); Beautiful Place (2x),No issues identified,Note: 20 negative review(s) detected but no specific issues were identified by our analysis. We recommend manually reviewing the feedback for insights.,0.4805
